Serial,emg,label
1186,1810,1
1187,1888,1
1188,1771,1
1189,1718,1
1190,1782,1
1191,1776,1
1192,1821,1
1193,1798,1
1194,1796,1
1195,1743,1
1196,1691,1
1197,1703,1
1198,1935,1
1199,2122,1
1200,1985,1
1201,1904,1
1202,2181,1
1203,2129,1
1204,2117,1
1205,2127,1
1206,1938,1
1207,1845,1
1208,2014,1
1209,2098,1
1210,2191,1
1211,2261,1
1212,2546,1
1213,2483,1
1214,2555,1
1215,2329,1
1216,2491,1
1217,2418,1
1218,2494,1
1219,2673,1
1220,2503,1
1221,2342,1
1222,2402,1
1223,2286,1
1224,2094,1
1225,2007,1
1226,1877,1
1227,1949,1
1228,1817,1
1229,1808,1
1230,1682,1
1231,1675,1
1232,1639,1
1233,1683,1
1234,1621,1
1235,1647,1
1236,1612,1
1237,1655,1
1238,1604,1
1239,1637,1
1240,1610,1
1241,1627,1
1242,1621,1
1243,1649,1
1244,1647,1
1245,1685,1
1246,1623,1
1247,1651,1
1248,1595,1
1249,1566,1
1250,1550,1
1251,1584,1
1252,1568,1
1253,1573,1
1254,1563,1
1255,1584,0
1256,1582,0
1257,1558,0
1258,1532,0
1259,1567,0
1260,1587,0
1261,1559,0
1262,1575,0
1263,1627,0
1264,1631,0
1265,1593,0
1266,1578,0
1267,1567,0
1268,1570,0
1269,1521,0
1270,1520,0
1271,1525,0
1272,1580,0
1273,1513,0
1274,1521,0
1275,1548,0
1276,1588,0
1277,1520,0
1278,1547,0
1279,1530,0
1280,1567,0
1281,1493,0
1282,1502,0
1283,1503,0
1284,1527,0
1285,1459,0
1286,1460,0
1287,1495,0
1288,1657,0
1289,1653,0
1290,1770,0
1291,1717,0
1292,1711,0
1293,1646,0
1294,1632,0
1295,1573,0
1296,1697,0
1297,1785,0
1298,1889,0
1299,1807,0
1300,1913,0
1301,1911,0
1302,2015,0
1303,1917,0
1304,1776,0
1305,1863,0
1306,1904,0
1307,1856,0
1308,1925,0
1309,1906,0
1310,1904,0
1311,2034,0
1312,2047,0
1313,2021,0
1314,2101,0
1315,2099,0
1316,2082,0
1317,2046,0
1318,2027,0
1319,2088,0
1320,2153,0
1321,2080,0
1322,2018,0
1323,1999,0
1324,2003,0
1325,1953,0
1326,2164,0
1327,2113,0
1328,2123,0
1329,2149,0
1330,2069,0
1331,1921,0
1332,2002,0
1333,2112,0
1334,1979,0
1335,1917,0
1336,1776,0
1337,1757,0
1338,1798,0
1339,1759,0
1340,1729,0
1341,1733,0
1342,1611,0
1343,1603,0
1344,1595,0
1345,1678,0
1346,1634,0
1347,1570,0
1348,1627,0
1349,1648,0
1350,1589,0
1351,1601,0
1352,1565,0
1353,1628,0
1354,1553,0
1355,1575,0
1356,1551,0
1357,1584,0
1358,1552,0
1359,1614,0
1360,1578,0
1361,1622,0
1362,1602,0
1363,1643,0
1364,1619,0
1365,1637,0
1366,1597,0
1367,1641,0
1368,1585,0
1369,1607,0
1370,1557,0
1371,1599,0
1372,1552,0
1373,1579,0
1374,1527,0
1375,1563,0
1376,1519,0
1377,1572,0
1378,1535,0
1379,1552,0
1380,1507,0
1381,1555,0
1382,1513,0
1383,1513,0
1384,1497,0
1385,1552,0
1386,1507,0
1387,1518,0
1388,1534,0
1389,1557,0
1390,1503,0
1391,1521,0
1392,1516,0
1393,1518,0
1394,1550,0
1395,1503,0
1396,1471,0
1397,1510,0
1398,1499,0
1399,1503,0
1400,1458,0
1401,1515,0
1402,1518,0
1403,1572,0
1404,1633,0
1405,1647,0
1406,1661,0
1407,1685,0
1408,1761,0
1409,1647,0
1410,1680,0
1411,1637,0
1412,1680,0
1413,1712,0
1414,1725,0
1415,1664,0
1416,1650,0
1417,1680,0
1418,1893,0
1419,1828,0
1420,1888,0
1421,1973,0
1422,1985,0
1423,1942,0
1424,2039,0
1425,1995,0
1426,1936,0
1427,1925,0
1428,1904,0
1429,1901,0
1430,1867,0
1431,1871,0
1432,1866,0
1433,1890,0
1434,1838,0
1435,1824,0
1436,1911,0
1437,1903,0
1438,1968,0
1439,1939,0
1440,1962,0
1441,1833,0
1442,1840,0
1443,1758,0
1444,1766,0
1445,1691,0
1446,1721,0
1447,1702,0
1448,1712,0
1449,1633,0
1450,1683,0
1451,1664,0
1452,1734,0
1453,1665,0
1454,1702,0
1455,1692,0
1456,1740,0
1457,1680,0
1458,1680,0
1459,1639,0
1460,1681,0
1461,1634,0
1462,1611,0
1463,1581,0
1464,1554,0
1465,1565,0
1466,1607,0
1467,1575,0
1468,1571,0
1469,1527,0
1470,1581,0
1471,1572,0
1472,1552,0
1473,1526,0
1474,1594,0
1475,1593,0
1476,1585,0
1477,1559,0
1478,1561,0
1479,1570,0
1480,1511,0
1481,1494,0
1482,1535,0
1483,1571,0
1484,1516,0
1485,1550,0
1486,1530,0
1487,1559,0
1488,1535,0
1489,1535,0
1490,1499,0
1491,1503,0
1492,1499,0
1493,1584,0
1494,1552,0
1495,1644,0
1496,1604,0
1497,1591,0
1498,1640,0
1499,1712,0
1500,1593,1
1501,1616,1
1502,1669,1
1503,1655,1
1504,1693,1
1505,1725,1
1506,1646,1
1507,1670,1
1508,1841,1
1509,1858,1
1510,1812,1
1511,1918,1
1512,1871,1
1513,1850,1
1514,1927,1
1515,1971,1
1516,1882,1
1517,1971,1
1518,2014,1
1519,1908,1
1520,1785,1
1521,1915,1
1522,2063,1
1523,2099,1
1524,2195,1
1525,2225,1
1526,2206,1
1527,2187,1
1528,2218,1
1529,2213,1
1530,2324,1
1531,2384,1
1532,2495,1
1533,2402,1
1534,2299,1
1535,2295,1
1536,2310,1
1537,2169,1
1538,1957,1
1539,1881,1
1540,1883,1
1541,1898,1
1542,1948,1
1543,1955,1
1544,2026,1
1545,1965,1
1546,1870,1
1547,1830,1
1548,1795,1
1549,1787,1
1550,1745,1
1551,1737,1
1552,1750,1
1553,1680,1
1554,1709,1
1555,1678,1
1556,1711,1
1557,1634,1
1558,1683,1
1559,1648,1
1560,1642,1
1561,1585,1
1562,1649,1
1563,1641,1
1564,1685,1
1565,1584,1
1566,1551,1
1567,1549,1
1568,1602,1
1569,1522,1
1570,1585,1
1571,1578,0
1572,1622,0
1573,1554,0
1574,1583,0
1575,1526,0
1576,1595,0
1577,1510,0
1578,1534,0
1579,1499,0
1580,1581,0
1581,1510,0
1582,1534,0
1583,1503,0
1584,1554,0
1585,1514,0
1586,1520,0
1587,1478,0
1588,1559,0
1589,1578,0
1590,1622,0
1591,1584,0
1592,1630,0
1593,1616,0
1594,1614,0
1595,1551,0
1596,1614,0
1597,1609,0
1598,1590,0
1599,1532,0
1600,1569,0
1601,1552,0
1602,1550,0
1603,1515,0
1604,1567,0
1605,1535,0
1606,1552,0
1607,1523,0
1608,1552,0
1609,1566,0
1610,1523,0
1611,1498,0
1612,1533,0
1613,1552,0
1614,1535,0
1615,1531,1
1616,1513,1
1617,1557,1
1618,1535,1
1619,1639,1
1620,1637,1
1621,1645,1
1622,1738,1
1623,1647,1
1624,1520,1
1625,1535,1
1626,1568,1
1627,1653,1
1628,1671,1
1629,1647,1
1630,1599,1
1631,1634,1
1632,1658,1
1633,1808,1
1634,1726,1
1635,1725,1
1636,1744,1
1637,1827,1
1638,1863,1
1639,1913,1
1640,1874,1
1641,2080,1
1642,1984,1
1643,1936,1
1644,1884,1
1645,2254,1
1646,2243,1
1647,2402,1
1648,2549,1
1649,2796,1
1650,2667,1
1651,2703,1
1652,2559,1
1653,2512,1
1654,2319,1
1655,2245,1
1656,2140,1
1657,2053,1
1658,1966,1
1659,1922,1
1660,1827,1
1661,1825,1
1662,1756,1
1663,1758,1
1664,1680,1
1665,1759,1
1666,1741,1
1667,1739,1
