serial,fsr,emg
1191,0,1450
1192,0,1456
1193,0,1445
1194,0,1437
1195,0,1407
1196,0,1389
1197,0,1386
1198,0,1404
1199,0,1392
1200,0,1393
1201,0,1372
1202,0,1399
1203,0,1362
1204,0,1364
1205,0,1360
1206,0,1409
1207,0,1408
1208,0,1416
1209,0,1392
1210,0,1403
1211,0,1408
1212,0,1432
1213,0,1407
1214,0,1438
1215,0,1424
1216,0,1428
1217,0,1435
1218,0,1455
1219,0,1455
1220,0,1462
1221,0,1456
1222,0,1446
1223,0,1473
1224,0,1465
1225,0,1462
1226,0,1451
1227,0,1462
1228,0,1474
1229,0,1477
1230,0,1474
1231,0,1531
1232,0,1587
1233,0,1744
1234,94,1824
1235,145,1991
1236,158,2080
1237,268,2203
1238,241,2299
1239,637,2462
1240,1107,2502
1241,1291,2719
1242,1567,2695
1243,1739,2869
1244,1834,2838
1245,1863,2960
1246,1902,2923
1247,1937,2990
1248,2017,3010
1249,2145,3007
1250,2288,2887
1251,2415,2949
1252,2508,2921
1253,2608,2970
1254,2656,2971
1255,2688,2989
1256,2749,2924
1257,2774,2833
1258,2823,2830
1259,2867,2880
1260,2909,2923
1261,2960,2970
1262,2990,2885
1263,3007,2882
1264,3024,2891
1265,3007,2889
1266,3013,2925
1267,3015,2982
1268,3024,2960
1269,3024,2982
1270,3029,2896
1271,3041,2833
1272,3057,2904
1273,3047,2950
1274,3053,3045
1275,3070,3097
1276,3051,3055
1277,3030,2879
1278,3063,2896
1279,3069,2921
1280,3071,3006
1281,3088,2910
1282,3093,2951
1283,3071,2925
1284,3089,2854
1285,3094,2897
1286,3094,2927
1287,3104,2960
1288,3091,2965
1289,3081,2879
1290,3079,2978
1291,3056,2927
1292,3051,2959
1293,3035,2842
1294,3024,2927
1295,3040,2855
1296,3014,2931
1297,3011,2897
1298,3003,2887
1299,3007,2929
1300,3007,2990
1301,3015,2938
1302,2983,3044
1303,2976,2885
1304,2986,3030
1305,2948,2934
1306,2958,2938
1307,2944,2943
1308,2957,2962
1309,2968,2986
1310,2983,2974
1311,2987,2980
1312,2993,2967
1313,2997,3010
1314,3007,2974
1315,3011,2959
1316,3005,2893
1317,3006,2967
1318,2985,2847
1319,2996,3022
1320,2998,2992
1321,2997,2969
1322,2992,2832
1323,2987,2928
1324,2997,2902
1325,2993,2958
1326,2981,2880
1327,2979,2974
1328,2971,2915
1329,2933,2873
1330,2928,2805
1331,2923,2864
1332,2903,2882
1333,2913,2926
1334,2910,2800
1335,2929,2868
1336,2938,2859
1337,2941,2909
1338,2937,2844
1339,2938,2919
1340,2944,2894
1341,2947,2915
1342,2946,2815
1343,2959,2811
1344,2955,2735
1345,2953,2799
1346,2957,2742
1347,2949,2825
1348,2939,2805
1349,2943,2871
1350,2939,2757
1351,2938,2784
1352,2941,2798
1353,2948,2807
1354,2941,2846
1355,2928,2859
1356,2930,2893
1357,2930,2886
1358,2926,2880
1359,2914,2864
1360,2896,2949
1361,2864,2893
1362,2803,2945
1363,2727,2868
1364,2611,2933
1365,2573,2897
1366,2516,2983
1367,2406,2917
1368,2277,2966
1369,2062,2950
1370,1683,3043
1371,1346,3003
1372,1009,3131
1373,779,3069
1374,422,3206
1375,127,3131
1376,92,3160
1377,0,3028
1378,0,2992
1379,90,2838
1380,0,2783
1381,73,2657
1382,74,2608
1383,0,2422
1384,0,2228
1385,0,2000
1386,0,1865
1387,0,1703
1388,0,1618
1389,0,1534
1390,0,1509
1391,0,1463
1392,0,1473
1393,0,1447
1394,0,1465
1395,0,1454
1396,0,1440
1397,0,1433
1398,0,1469
1399,0,1471
1400,0,1488
1401,0,1462
1402,0,1456
1403,0,1459
1404,0,1456
1405,0,1439
1406,0,1445
1407,0,1419
1408,0,1423
1409,0,1400
1410,0,1393
1411,0,1403
1412,0,1387
1413,0,1390
1414,0,1389
1415,0,1385
1416,0,1359
1417,0,1374
1418,0,1346
1419,0,1349
1420,0,1338
1421,0,1358
1422,0,1334
1423,0,1350
1424,0,1337
1425,0,1328
1426,0,1313
1427,0,1303
1428,0,1302
1429,0,1313
1430,0,1295
1431,0,1339
1432,0,1304
1433,0,1301
1434,0,1299
1435,0,1314
1436,0,1299
1437,0,1308
1438,0,1283
1439,0,1303
1440,0,1296
1441,0,1302
1442,0,1274
1443,0,1285
1444,0,1287
1445,0,1275
1446,0,1264
1447,0,1275
1448,0,1264
1449,0,1275
1450,0,1274
1451,0,1283
1452,0,1321
1453,0,1399
1454,0,1487
1455,20,1569
1456,76,1678
1457,113,1744
1458,443,1792
1459,738,1867
1460,1424,1977
1461,1679,2027
1462,1744,2158
1463,1936,2134
1464,2086,2173
1465,2254,2150
1466,2367,2193
1467,2438,2130
1468,2491,2102
1469,2519,2124
1470,2581,2133
1471,2661,2116
1472,2731,2143
1473,2768,2127
1474,2791,2165
1475,2816,2093
1476,2835,2127
1477,2855,2106
1478,2866,2102
